material_id,formation_energy_per_atom,nsites
mp-865028,-1.251402644791669,4
mp-1183168,-3.141069095500003,5
mp-866203,-0.485260694374999,4
mp-980005,-0.6750111106249931,4
mp-1183192,-0.378423713124995,4
mp-8566,0.0,4
mp-18125,-1.201867790454545,22
mp-29607,-0.26484184576923103,13
mp-23558,-0.9173112705555521,24
mp-862982,-0.589244397666665,10
mp-4691,-1.089499118055555,12
mp-864635,-0.499390825499999,10
mp-1391,-0.8383200133333321,3
mp-542298,-1.229926874642856,28
mp-861942,-0.550358512291666,16
mp-9900,-0.46699392263888906,12
mp-690687,-1.046624786547618,14
mp-553949,-1.105035922807017,38
mp-1229141,-0.463996551354166,16
mp-23485,-0.512362546547618,7
mp-29816,-0.45434721466666705,20
mp-556866,-0.44160478972222206,12
mp-27966,-1.5074706507575741,22
mp-353,-0.31563385777777403,6
mp-1190325,-1.785766681051587,24
mp-707138,-1.5734414415699391,24
mp-13956,-0.16940802690228102,48
mp-1192057,-1.4055423298484842,22
mp-5625,-1.256612797261903,14
mp-2047939,-0.13333801052083202,12
mp-16913,-0.8250872030295131,24
mp-2748718,-0.5705825800520821,24
mp-11641,-0.8401073900967221,14
mp-1214926,-0.469528931979166,16
mp-10963,-0.47488669315104204,16
mp-1592,-0.09518987166666601,12
mp-558768,-0.9644783249999971,42
mp-29163,-0.078949780572917,12
mp-36383,-1.605811363406592,13
mp-1229185,-1.8012610570312502,16
mp-2749579,-1.625031354218749,16
mp-1229124,-0.9640073153124981,16
mp-561620,-0.16004723620535302,28
mp-9538,-0.141018007968748,16
mp-1183137,-0.061713688749996005,4
mp-3172,-0.14919083427083002,24
mp-562412,-1.19802818272727,22
mp-17862,-0.041898267346937,28
mp-1605,-0.40144617142857003,14
mp-27821,-0.046166636624148,14
mp-1229128,-1.409352184955356,16
mp-12459,-0.256124809903273,16
mp-985296,-0.06677629124999701,4
mp-555269,-0.20678933263392502,28
mp-17568,-0.03840222770408,28
mp-29849,-0.07652426325757501,22
mp-5710,-0.10585073750000101,24
mp-1229155,-0.597054644479167,16
mp-553924,-1.227746526880951,40
mp-554357,-0.771264614333333,40
mp-1199607,-0.9670417785833321,40
mp-22286,-0.8022593106410231,13
mp-28812,-0.6585394598333311,40
mp-568540,-0.3892654220671,22
mp-1194068,-0.808870453910256,26
mp-559847,-0.5435249585813471,12
mp-1191916,-1.136163740029084,22
mp-558786,-1.083719238593748,32
mp-1229201,-0.537861301184209,19
mp-553919,-1.358812299473683,19
mp-37695,-0.5118082090350791,19
mp-18474,-0.33250190015972203,30
mp-17984,-0.21050978895833203,30
mp-556837,-1.08640704392361,48
mp-1191037,-1.6399032428361742,22
mp-985701,-1.4163172241111122,30
mp-37153,-2.201692029895833,8
mp-4807,-2.1067146368518532,36
mp-1178563,-1.269711258833334,10
mp-22665,-0.49983294361111,24
mp-1229194,-0.713105557037036,36
mp-863750,-0.064884731250003,4
mp-570340,-0.45443635000000104,12
mp-16060,-1.254503722499999,12
mp-1196161,-1.08911063388889,36
mp-996983,-0.46954475916666605,8
mp-12021,-2.469788318333332,24
mp-5160,-2.276470174642857,14
mp-556434,-0.33882521078273803,20
mp-569126,-0.46588106450148803,20
mp-28965,-1.784909150333334,15
mp-23474,-0.372202277673611,18
mp-556094,-0.9455932878333341,10
mp-23231,-0.6596210383333321,2
mp-22922,-0.568439933749999,2
mp-22993,-0.414067270277776,6
mp-7592,-1.122615552499999,2
mp-2284,-1.311622154166665,12
mp-18536,-1.128947433749999,24
mp-1200633,-0.22923165688632202,46
mp-996958,-0.728314120729166,8
mp-558188,-1.054451005520835,32
mp-560443,-0.680979918240742,36
mp-556798,-1.5083162942261912,32
mp-6215,-0.36442808402777704,12
mp-861501,-0.13944391354166502,4
mp-560067,-0.544299855416667,16
mp-23140,-0.426432127916667,16
mp-580941,-0.46775989833333204,8
mp-1194592,-0.753021275972222,48
mp-27384,-0.713068665333332,40
mp-662534,-1.490580648333332,36
mp-1214988,-1.029996517375002,40
mp-552185,-0.6806635453333341,10
mp-2803876,-0.442571765833331,4
mp-1194585,-2.26173536438492,48
mp-34418,-2.364613824122023,8
mp-18702,-1.958048157761911,40
mp-1206101,-1.748101063125002,8
mp-1229012,-0.07259402249999801,2
mp-31215,-1.3849059325,16
mp-997038,-0.6587361541666651,8
mp-1183209,-0.0823932825,2
mp-1214922,-1.430022469374999,16
mp-1214944,-1.462700816388887,12
mp-1214934,-1.7064166539583332,16
mp-2017405,-1.554154335000001,16
mp-17588,-1.715751211388889,36
mp-761035,-1.012188526944443,12
mp-1202574,-1.673621897651514,44
mp-1229086,-1.5913343448611101,24
mp-1196324,-1.370615100486111,48
mp-2763322,-1.018334732968748,12
mp-559602,-1.14026821361111,48
mp-14653,-2.3875121401111112,15
mp-3414,-2.358844439270832,32
mp-540872,-1.444474670333332,20
mp-1199019,-2.14160334219697,44
mp-3922,-0.250111398906248,16
mp-10809,-2.129888439374998,8
mp-1229011,-0.33394916828124704,4
mp-3291,-0.095523587500001,12
mp-559257,-1.146425267166666,40
mp-29718,-0.817787528106059,44
mp-134,0.0,1
mp-7692,-0.38110427100000005,5
mp-3805,-0.40118319366666305,5
mp-672352,-1.08107135225,40
mp-555903,-1.3017925411538451,26
mp-2014966,-1.1765090717307691,13
mp-1214889,-0.400964897999998,15
mp-1648,-0.15187291480768902,13
mp-16719,-0.180129973846152,13
mp-567929,-0.53140296588235,17
mp-1029975,-0.609314530909091,22
mp-29110,-0.45394824187499905,16
mp-1214897,-0.347799906034481,29
mp-4417,-2.3349570783823532,34
mp-756970,-1.760841893943015,34
mp-1194539,-1.3475888879901952,34
mp-2647,-0.49509397333333505,3
mp-557737,-1.026826849464285,28
mp-571623,-0.8726628287500011,28
mp-1214910,-1.4495020240909091,22
mp-28361,-1.5805851863636362,22
mp-5928,-1.147233041607143,7
mp-3159,-1.075488398482142,7
mp-7909,-0.582113531428575,7
mp-867319,-0.835120557500001,4
mp-1228913,-0.625177445,4
mp-984352,-0.5402784149999991,4
mp-862695,-0.6617507237500011,4
mp-1228975,-1.1090711564285711,14
mp-985806,-0.21265698333333302,3
mp-1079890,-0.7419818087500011,8
mp-862691,-0.46805296249999906,4
mp-866031,-0.6807959575,4
mp-1228910,-0.5236166949999991,4
mp-30084,-2.9035625028571412,14
mp-1214864,-2.468417401666667,30
mp-561437,-3.1719766036111112,36
mp-7906,-1.106310683214292,7
mp-3038,-0.825231304821429,7
mp-7910,-0.47700404821428505,7
mp-866284,-0.8285853749999991,4
mp-862694,-1.130865957499999,4
mp-865989,-0.984318068749999,4
mp-37614,-2.802741493571429,28
mp-1183155,-0.607955297499998,4
mp-867775,-0.743546901249999,4
mp-1143,-3.426551008,10
mp-7188,-0.670291663333335,3
mp-1183136,-0.8597437825,4
mp-23995,-2.448946845745798,34
mp-21892,-2.893783590000014,14
mp-1103722,-1.233530308571437,14
mp-675374,-0.9435391144642841,14
mp-862715,-0.8579669187500011,4
mp-1502,-0.989689963333328,3
mp-10910,-0.7811005950000001,6
mp-867125,-0.9900710087499961,4
mp-867326,-1.008399888749998,4
mp-1228491,-1.236956223687499,10
mp-11674,-1.0088235364375011,10
mp-6280,-3.5297768330555552,36
mp-5065,-3.3768698634375,32
mp-560633,-2.08123727425,40
mp-29502,-0.559024813749999,40
mp-9254,-0.40193999714285505,7
mp-568443,-1.6701747172727281,22
mp-1228540,-0.375922756666665,12
mp-2908,-3.021072628571429,14
mp-4842,-1.190503468035713,14
mp-7907,-1.100773949910713,7
mp-7908,-0.7049379838095231,7
mp-541849,-0.6468797016666671,18
mp-505472,-0.402885581896529,29
mp-1214915,-0.616240705434781,46
mp-1228446,-0.202281617499998,10
mp-1228599,-0.23713364392857203,42
mp-867780,-0.15663263999999802,4
mp-1228603,-0.46855437249999904,16
mp-2294,-0.7665281825000001,8
mp-571247,-0.363495063749999,16
mp-622209,-0.418775703125,16
mp-1057,-0.644216627999999,5
mp-16514,-0.563250544999998,8
mp-10901,-0.812340915999999,5
mp-16523,-0.857533224374996,16
mp-10905,-1.102624861999999,5
mp-1501,-0.9792966056250021,16
mp-1070580,-0.7752910740000001,5
mp-1214863,-2.529541182463767,46
mp-1229069,-1.9299713141666681,44
mp-2554,-0.34389383499999904,4
mp-31408,-3.0834730528,25
mp-23426,-2.857885393999998,30
mp-1591,-0.23825637285714302,7
mp-13703,-2.594719617222223,18
mp-1190488,-3.094281680416666,24
mp-1228721,-0.8813140376785701,14
mp-1104047,-0.40843121133333204,15
mp-3281,-3.366610787277777,30
mp-196,-0.42809385035714104,28
mp-35267,-1.167115974464285,14
mp-568607,-0.276001555833332,12
mp-1791,-0.8065616792857131,28
mp-30337,-0.18916691499999802,12
mp-9203,-2.7123131624999983,23
mp-9535,-2.700609853768116,23
mp-1228194,-0.321334645999999,10
mp-16529,-0.353180652857143,14
mp-28759,-1.262489661818182,44
mp-1228228,-2.767509591666667,30
mp-4689,-0.259595780999999,40
mp-2733,-0.38162391545454605,11
mp-16488,-0.29702967454545304,22
mp-12003,-0.5658966736363621,22
